SENTTOT,AGE,CITIZEN,CRIMHIST,CRIMPTS,DISTRICT,DSPLEA,INOUT,MONSEX,NEWEDUC,NEWRACE,OFFGUIDE,PRESENT,SENTIMP,WEAPON,XMAXSOR,XMINSOR
9.0,40.0,3.0,1.0,2.0,41,5,0.0,0.0,1.0,3.0,17,1.0,1,0,14.0,8.0
2.92,42.0,3.0,1.0,0.0,70,1,0.0,0.0,1.0,3.0,17,1.0,1,0,6.0,0.0
15.0,23.0,3.0,1.0,2.0,88,1,,0.0,1.0,3.0,10,1.0,1,0,51.0,41.0
84.0,43.0,1.0,0.0,0.0,70,1,,0.0,6.0,1.0,7,1.0,1,0,235.0,188.0
6.0,32.0,3.0,1.0,4.0,70,1,,0.0,3.0,3.0,17,1.0,1,0,16.0,10.0
6.0,33.0,3.0,1.0,3.0,70,1,,0.0,1.0,3.0,17,1.0,1,0,21.0,15.0
6.0,31.0,3.0,1.0,3.0,70,1,,0.0,5.0,3.0,17,1.0,1,0,21.0,15.0
,33.0,1.0,0.0,0.0,46,1,,0.0,3.0,1.0,11,2.0,4,0,16.0,10.0
8.0,46.0,3.0,1.0,5.0,70,1,,0.0,1.0,3.0,17,1.0,1,0,24.0,18.0
0.03,20.0,3.0,1.0,0.0,41,1,,0.0,1.0,3.0,17,1.0,1,0,18.0,12.0
3.84,40.0,3.0,1.0,3.0,70,1,0.0,0.0,1.0,3.0,17,1.0,1,0,14.0,8.0
2.96,53.0,2.0,1.0,0.0,70,1,0.0,0.0,1.0,3.0,17,1.0,1,0,6.0,0.0
8.0,49.0,3.0,1.0,1.0,41,5,0.0,0.0,1.0,3.0,17,1.0,1,0,14.0,8.0
14.85,23.0,3.0,1.0,2.0,88,1,,0.0,1.0,3.0,21,1.0,1,0,37.0,30.0
3.56,29.0,3.0,1.0,0.0,42,5,0.0,0.0,,3.0,17,1.0,1,0,6.0,0.0
240.0,40.0,1.0,1.0,23.0,31,8,,0.0,3.0,2.0,19,1.0,1,1,262.0,210.0
,62.0,1.0,1.0,26.0,88,1,,0.0,3.0,1.0,10,2.0,4,0,162.0,130.0
70.0,41.0,1.0,1.0,1.0,31,1,,1.0,6.0,2.0,10,2.0,1,0,87.0,70.0
2.6,38.0,3.0,1.0,0.0,70,1,0.0,0.0,1.0,3.0,17,1.0,1,0,6.0,0.0
6.0,32.0,3.0,0.0,0.0,70,1,,0.0,5.0,3.0,17,1.0,1,0,18.0,12.0
0.03,33.0,3.0,1.0,0.0,31,5,0.0,0.0,,3.0,17,1.0,1,0,6.0,0.0
2.03,23.0,3.0,1.0,3.0,47,5,0.0,0.0,,1.0,17,1.0,1,0,7.0,1.0
78.0,34.0,3.0,0.0,0.0,31,1,,0.0,1.0,3.0,10,1.0,1,0,168.0,135.0
48.0,42.0,3.0,1.0,2.0,70,1,,0.0,1.0,3.0,10,1.0,1,0,78.0,63.0
26.0,34.0,2.0,1.0,7.0,13,1,,0.0,1.0,3.0,10,1.0,1,0,188.0,151.0
7.0,59.0,3.0,1.0,3.0,70,1,,0.0,1.0,3.0,17,1.0,1,0,18.0,12.0
6.16,29.0,3.0,0.0,0.0,42,5,0.0,0.0,5.0,3.0,17,1.0,1,0,6.0,0.0
292.0,48.0,1.0,1.0,6.0,9,1,,0.0,1.0,3.0,27,1.0,1,0,405.0,324.0
120.0,30.0,1.0,1.0,0.0,70,1,,0.0,3.0,6.0,27,1.0,1,0,293.0,235.0
15.0,59.0,1.0,0.0,0.0,72,1,,1.0,3.0,3.0,16,3.0,1,0,78.0,63.0
3.38,26.0,3.0,1.0,1.0,70,1,0.0,0.0,1.0,3.0,17,1.0,1,0,7.0,1.0
,37.0,1.0,1.0,15.0,88,1,,0.0,5.0,1.0,10,3.0,4,0,115.0,92.0
15.0,55.0,1.0,0.0,0.0,72,1,,1.0,5.0,3.0,16,3.0,1,0,78.0,63.0
4.7,23.0,3.0,0.0,0.0,70,1,,1.0,1.0,3.0,17,1.0,1,0,18.0,12.0
52.0,49.0,1.0,1.0,0.0,36,1,,0.0,6.0,1.0,16,2.0,1,0,57.0,46.0
21.52,37.0,1.0,1.0,3.0,41,1,0.0,0.0,5.0,2.0,16,2.0,1,0,6.0,0.0
96.0,43.0,1.0,1.0,3.0,2,8,,0.0,5.0,1.0,21,3.0,1,0,293.0,235.0
24.0,25.0,1.0,1.0,5.0,39,1,,0.0,1.0,2.0,16,1.0,1,0,24.0,18.0
8.0,42.0,3.0,1.0,0.0,74,1,,0.0,1.0,3.0,17,1.0,1,0,24.0,18.0
60.0,28.0,1.0,0.0,0.0,17,1,,1.0,5.0,2.0,10,1.0,1,0,71.0,57.0
24.0,51.0,3.0,1.0,12.0,74,1,,0.0,1.0,3.0,17,1.0,1,0,30.0,24.0
13.03,55.0,3.0,1.0,6.0,74,1,,0.0,3.0,3.0,17,1.0,1,0,46.0,37.0
10.0,52.0,1.0,1.0,0.0,70,1,,1.0,3.0,2.0,13,3.0,1,0,16.0,10.0
3.0,60.0,1.0,0.0,0.0,41,5,,0.0,5.0,6.0,29,2.0,1,0,30.0,24.0
3.94,31.0,1.0,1.0,5.0,74,1,,0.0,1.0,3.0,17,2.0,1,0,16.0,10.0
7.0,41.0,3.0,1.0,3.0,70,1,,0.0,1.0,3.0,17,1.0,1,0,30.0,24.0
1.59,21.0,3.0,1.0,1.0,88,1,0.0,0.0,1.0,3.0,17,1.0,1,0,12.0,6.0
20.0,48.0,1.0,1.0,0.0,36,1,,0.0,6.0,1.0,16,2.0,1,0,46.0,37.0
,26.0,1.0,1.0,0.0,70,1,,0.0,5.0,3.0,13,3.0,4,0,18.0,12.0
27.0,33.0,1.0,1.0,1.0,47,1,,0.0,3.0,1.0,10,1.0,1,0,37.0,30.0
6.0,24.0,3.0,1.0,3.0,70,1,,0.0,1.0,3.0,17,1.0,1,0,16.0,10.0
12.0,36.0,3.0,1.0,3.0,41,5,,0.0,1.0,3.0,17,1.0,1,0,18.0,12.0
54.0,32.0,1.0,1.0,17.0,41,1,,1.0,5.0,3.0,10,1.0,1,0,125.0,100.0
,29.0,1.0,0.0,0.0,72,1,,0.0,6.0,3.0,10,3.0,4,0,30.0,24.0
21.0,33.0,3.0,1.0,3.0,84,1,,0.0,1.0,3.0,17,1.0,1,0,30.0,24.0
10.0,38.0,3.0,1.0,5.0,41,5,,0.0,1.0,3.0,17,1.0,1,0,16.0,10.0
4.0,19.0,3.0,1.0,2.0,70,1,,0.0,1.0,3.0,17,1.0,1,0,16.0,10.0
16.0,42.0,3.0,1.0,5.0,74,1,,0.0,5.0,3.0,17,1.0,1,0,37.0,30.0
20.0,44.0,1.0,1.0,11.0,87,1,,0.0,3.0,1.0,13,1.0,1,0,37.0,30.0
0.03,48.0,5.0,0.0,0.0,40,1,,0.0,3.0,2.0,30,1.0,1,0,46.0,37.0
11.23,53.0,3.0,1.0,1.0,4,5,0.0,0.0,1.0,3.0,17,1.0,1,0,14.0,8.0
10.0,29.0,2.0,0.0,0.0,74,1,,0.0,1.0,3.0,16,1.0,1,0,16.0,10.0
4.56,41.0,3.0,1.0,0.0,70,1,0.0,0.0,1.0,3.0,17,1.0,1,0,6.0,0.0
6.0,28.0,1.0,1.0,0.0,70,1,,1.0,3.0,2.0,17,3.0,1,1,30.0,24.0
120.0,22.0,3.0,1.0,1.0,87,1,,0.0,1.0,3.0,10,1.0,1,1,9996.0,9996.0
4.0,36.0,3.0,1.0,3.0,84,1,,0.0,1.0,3.0,17,1.0,1,0,16.0,10.0
20.95,34.0,1.0,1.0,1.0,42,1,,0.0,1.0,3.0,17,1.0,1,1,18.0,12.0
240.0,40.0,1.0,1.0,18.0,66,8,,0.0,1.0,2.0,10,1.0,1,1,9996.0,360.0
10.2,57.0,3.0,1.0,6.0,41,5,,0.0,3.0,3.0,17,1.0,1,0,71.0,57.0
120.0,54.0,1.0,1.0,15.0,66,1,,0.0,5.0,1.0,10,1.0,1,0,293.0,235.0
240.0,36.0,1.0,1.0,0.0,66,1,,0.0,3.0,1.0,27,1.0,1,0,365.0,292.0
37.0,36.0,1.0,1.0,3.0,84,1,,0.0,3.0,3.0,10,1.0,2,0,78.0,63.0
60.0,37.0,3.0,1.0,3.0,40,1,0.0,0.0,1.0,3.0,17,1.0,1,0,14.0,8.0
20.0,20.0,1.0,1.0,0.0,35,5,0.0,0.0,3.0,2.0,1,1.0,1,1,14.0,8.0
132.0,36.0,1.0,1.0,22.0,67,1,,0.0,5.0,3.0,10,1.0,1,0,162.0,130.0
84.0,62.0,3.0,1.0,3.0,30,5,,0.0,1.0,2.0,17,1.0,1,0,16.0,10.0
6.0,46.0,3.0,1.0,2.0,84,1,,0.0,1.0,3.0,17,1.0,1,0,16.0,10.0
46.0,32.0,1.0,1.0,5.0,13,1,,0.0,3.0,2.0,26,1.0,1,0,71.0,57.0
57.0,48.0,3.0,1.0,1.0,40,1,,0.0,1.0,3.0,10,1.0,1,0,71.0,57.0
135.0,64.0,3.0,0.0,0.0,40,1,,0.0,5.0,3.0,10,1.0,1,0,210.0,168.0
60.0,48.0,1.0,1.0,0.0,51,1,,1.0,6.0,2.0,10,1.0,1,0,57.0,46.0
48.0,58.0,1.0,0.0,0.0,84,1,,1.0,3.0,3.0,10,1.0,1,1,327.0,262.0
8.0,38.0,3.0,1.0,3.0,84,1,,0.0,1.0,3.0,17,1.0,1,0,18.0,12.0
10.0,47.0,3.0,1.0,3.0,70,1,0.0,0.0,1.0,3.0,17,1.0,1,0,14.0,8.0
135.0,37.0,1.0,1.0,6.0,40,1,,0.0,3.0,3.0,10,1.0,1,0,168.0,135.0
42.0,48.0,2.0,1.0,0.0,70,1,,0.0,3.0,3.0,10,1.0,1,0,78.0,63.0
60.0,29.0,1.0,1.0,12.0,80,1,,0.0,1.0,2.0,13,1.0,2,0,96.0,77.0
107.0,33.0,1.0,1.0,12.0,45,1,,0.0,1.0,2.0,10,1.0,1,0,115.0,92.0
24.0,50.0,1.0,1.0,1.0,12,1,,0.0,3.0,1.0,10,2.0,1,0,57.0,46.0
33.0,43.0,1.0,1.0,10.0,84,1,,1.0,3.0,3.0,17,1.0,2,1,57.0,46.0
57.0,46.0,1.0,1.0,9.0,78,5,,1.0,3.0,1.0,10,1.0,1,0,105.0,84.0
6.0,27.0,3.0,1.0,4.0,70,1,,0.0,1.0,3.0,17,1.0,1,0,16.0,10.0
